"Date","Open","High","Low","Close"
2017-07-10,67.02,67.24,66.13,67.18
2017-07-07,64.59,65.59,64.57,65.35
2017-07-06,63.95,64.82,63.67,64.45
2017-07-05,63.63,64.87,63.33,64.71
2016-07-08,46.13,46.995,45.9,46.97
2016-07-07,45.47,46.08,45.47,45.71
2016-07-01,45.87,46.26,45.61,46.19
2015-07-09,43.25,43.36,41.83,41.85
2015-07-08,43.14,43.33,42.515,42.655
2015-07-07,43.45,43.68,42.582,43.62
2015-07-02,44.11,44.14,43.55,43.84
2015-07-01,44.58,44.91,43.95,44.1
